"account_id";"company_name";"primary_industry";"Scope";"% emissions in Scope";"BY_covered";"BY_Scope_exclS3";"BY_Scope";"MRY_Scope";"MRY_Scope_exclS3";"% reduction from base year";"Target year";"Target status";"% achieved (emissions)";"Target coverage";"MRY_inventory";"MRY_target";"TargetActive";"Quantifiable";"Scope1_2";"Include"
5516;"ENAGAS";"Fossil Fuels";"Scope 1 +2 (market-based)";100;565428;NA;NA;313208;NA;53;2030;"New";0;"Unknown";313208;565428;TRUE;TRUE;TRUE;TRUE
5519;"Emera Inc.";"Power generation";"Scope 1";37;10200000;NA;27322396;21585930;NA;26;2020;"Underway";100;"Unknown";7986794.1;7548000;TRUE;TRUE;TRUE;TRUE
5519;"Emera Inc.";"Power generation";"Scope 1";37;10200000;NA;27322396;21585930;NA;56;2030;"Underway";67;"Unknown";7986794.1;6372960;TRUE;TRUE;TRUE;TRUE
5532;"Emira Property Fund";"Services";"Scope 1+2 (location-based)";100;217127;NA;217126.79;195103;NA;13;2022;"Underway";96;"Unknown";195103;190029.5504;TRUE;TRUE;TRUE;TRUE
5584;"Endesa";"Power generation";"Scope 1";100;23839360;NA;38631310;34801768;NA;100;2050;"Underway";0;"Unknown";34801768;23839360;TRUE;TRUE;TRUE;TRUE
5584;"Endesa";"Power generation";"Scope 1";100;51257000;NA;NA;34801768;NA;47;2020;"Underway";68.44;"Unknown";34801768;34769263.324;TRUE;TRUE;TRUE;TRUE
5584;"Endesa";"Power generation";"Scope 1";100;51257000;NA;NA;34801768;NA;60;2030;"Underway";53.6;"Unknown";34801768;34772748.8;TRUE;TRUE;TRUE;TRUE
5584;"Endesa";"Power generation";"Scope 1";100;51257000;NA;NA;34801768;NA;80;2040;"Underway";40.2;"Unknown";34801768;34772748.8;TRUE;TRUE;TRUE;TRUE
5634;"Eni SpA";"Fossil Fuels";"Scope 1";12.68;5327942;NA;42140588;42515724;NA;100;2025;"Underway";7.12;"Unknown";5390993.8032;4948592.5296;TRUE;TRUE;TRUE;TRUE
5634;"Eni SpA";"Fossil Fuels";"Scope 1";6.9;2894206;NA;42140588;42515724;NA;80;2025;"Underway";66.47;"Unknown";2933584.956;1355183.01744;TRUE;TRUE;TRUE;TRUE
5804;"ERG S.p.A";"Power generation";"Scope 2 (market-based)";80;4238;NA;5300;2940;NA;90;2018;"Underway";81;"Unknown";2352;1148.498;TRUE;TRUE;TRUE;TRUE
5804;"ERG S.p.A";"Power generation";"Scope 2 (market-based)";20;1062;NA;5300;2940;NA;100;2018;"Underway";90;"Unknown";588;106.2;TRUE;TRUE;TRUE;TRUE
5804;"ERG S.p.A";"Power generation";"Scope 2 (market-based)";100;6953;NA;6953;2940;NA;100;2030;"Underway";0;"Unknown";2940;6953;TRUE;TRUE;TRUE;TRUE
5811;"Ericsson";"Manufacturing";"Scope 1+2 (location-based)";100;260000;NA;259552;230000;NA;35;2022;"Underway";34;"Unknown";230000;229060;TRUE;TRUE;TRUE;TRUE
5885;"Estee Lauder Companies Inc.";"Manufacturing";"Scope 1 +2 (market-based)";100;93302;NA;67833.97;64601.3;NA;100;2020;"Underway";36;"Unknown";64601.3;59713.28;TRUE;TRUE;TRUE;TRUE
6285;"Fifth Third Bancorp";"Services";"Scope 1+2 (location-based)";100;152847;NA;152847;106733;NA;25;2022;"Underway";100;"Unknown";106733;114635.25;TRUE;TRUE;TRUE;TRUE
6305;"FERROVIAL";"Infrastructure";"Scope 1 +2 (market-based)";100;950551;NA;950550;853582;NA;32;2030;"Underway";31.88;"Unknown";853582;853579.589184;TRUE;TRUE;TRUE;TRUE
