"company_name";"Country/Region";"Scope(s) (or Scope 3 category)";"count_TY"
"BillerudKorsnäs";"Global";"Scope 1+2 (market-based)";1
"BillerudKorsnäs";"Global";"Scope 3 (upstream & downstream)";1
"Biocon";"Global";"Scope 1";1
"Biocon";"Global";"Scope 2 (location-based)";1
"Biogen Inc.";"Global";"Scope 1+2 (market-based) +3 (upstream & downstream)";1
"BIORIGIN";"Global";"Scope 1";1
"BlackRock";"Global";"Scope 1+2 (location-based)";1
"Bloomberg";"Global";"Other, please specify: Scope 1 + Scope 2 (Mkt Based) + Scope 3";1
"Bloomberg";"Global";"Scope 2 (market-based)";3
"Blue Cross Blue Shield Massachusetts";"Global";"Scope 1+2 (market-based) +3 (upstream & downstream)";1
"Blue Ocean Innovation Limited";"Global";"Scope 2 (location-based)";1
"BMW AG";"Global";"Scope 1+2 (market-based)";2
"BNY Mellon";"Global";"Scope 1+2 (location-based)";1
"BNY Mellon";"Global";"Scope 1+2 (market-based)";1
"BNY Mellon";"Global";"Scope 2 (market-based)";1
"Bodycote plc";"Global";"Scope 1";1
"Bodycote plc";"Global";"Scope 2 (location-based)";1
"Boeing Company";"Global";"Scope 1+2 (market-based)";1
"Boiln Plastics Co.,Ltd.";"Global";"Scope 2 (location-based)";1
"Bolloré SA";"Global";"Scope 1+2 (location-based)";1
"Bonava";"Global";"Scope 1+2 (market-based)";1
"Borregaard ASA";"Global";"Scope 1+2 (location-based)";2
"Boston Scientific Corporation";"Global";"Scope 1+2 (location-based)";1
"Boston Scientific Corporation";"Global";"Scope 1+2 (market-based)";1
"Bouygues";"Global";"Scope 1+2 (location-based) +3 (upstream)";1
"BOYD";"Global";"Scope 1";1
"BPER Banca";"Global";"Scope 1+2 (location-based)";1
"bpost";"Global";"Scope 1+2 (market-based)";1
"bpost";"Global";"Scope 3: Upstream transportation & distribution";1
"Bradshaw International, Inc.";"Global";"Scope 1+2 (location-based)";1
"Brady Corporation";"Global";"Scope 1+2 (location-based)";1
"Braskem S/A";"Global";"Scope 1+2 (location-based)";2
"Brembo SpA";"Global";"Scope 1+2 (market-based)";4
"Brewer Science";"Global";"Scope 1";1
"Brewer Science";"Global";"Scope 2 (location-based)";1
"Bridgestone Corporation";"Global";"Scope 1+2 (market-based)";2
"Bridgestone Corporation";"Global";"Scope 3 (upstream & downstream)";1
"Bright International Corp.";"Global";"Scope 1+2 (location-based)";1
"Bright International Corp.";"Global";"Scope 2 (location-based)";1
"Bright International Corp.";"Global";"Scope 3 (upstream & downstream)";1
"Bright International Corp.";"Global";"Scope 3: Waste generated in operations";2
"BRİSA BRIDGESTONE SABANCI LASTİK SAN. VE TİC. A.Ş";"Global";"Scope 1+2 (location-based)";2
"Bristol-Myers Squibb";"Global";"Scope 1+2 (market-based)";1
"British American Tobacco";"Global";"Scope 1+2 (market-based)";1
"British American Tobacco";"Global";"Scope 3: Purchased goods & services";1
"Britvic";"Global";"Scope 1+2 (market-based)";1
"Britvic";"Global";"Scope 3 (upstream & downstream)";1
"Broadridge Financial Solutions Inc";"Global";"Scope 1+2 (location-based)";1
