"company_name";"Scope_short";"Target year";"Base year";"count_branches";"sum_percent_alloc";"remaing";"perc_from_closest_number"
"Bel Fuse Inc.";"S12L";2025;2013;1;1;0;0
"Bel Fuse Inc.";"S12L";2025;2017;1;1;0;0
"Bendigo and Adelaide Bank";"S12L3";2020;2017;1;0;0;NA
"Benesse Holdings, Inc.";"S12M";2030;2018;2;1;0.000000000000000222044604925031;0.000000000000000222044604925031
"Benesse Holdings, Inc.";"S12M";2050;2018;2;1;0.000000000000000222044604925031;0.000000000000000222044604925031
"Benesse Holdings, Inc.";"S3";2030;2018;2;0;0;NA
"Benesse Holdings, Inc.";"S3";2050;2018;2;0;0;NA
"Berkeley Group";"S12M";2030;2019;6;0.958683473389356;0.958683473389356;0.0430971512052591
"Berner Kantonalbank AG BEKB";"S12M";2022;2004;1;0;0;NA
"Berner Kantonalbank AG BEKB";"S12M";2022;2012;1;0;0;NA
"Berner Kantonalbank AG BEKB";"S12M";2036;2004;1;0;0;NA
"Bertelsmann";"S12M";2020;2014;11;0.888308189101081;0.888308189101081;0.12573542861509
"Bertelsmann";"S12M";2025;2014;11;0.888308189101081;0.888308189101081;0.12573542861509
"Bertelsmann";"S12M3";2030;2018;11;0.888308189101081;0.888308189101081;0.12573542861509
"Best Buy Co., Inc.";"S12M";2020;2009;3;1;0.000000000000000444089209850063;0.000000000000000444089209850063
"Best Buy Co., Inc.";"S12M";2030;2017;3;1;0.000000000000000444089209850063;0.000000000000000444089209850063
"Best Buy Co., Inc.";"S12M";2050;2017;3;1;0.000000000000000444089209850063;0.000000000000000444089209850063
"Best Buy Co., Inc.";"S3";2030;2017;3;0;0;NA
"BEUKAY";"S12L";2030;2017;1;1;0;0
"BEUKAY";"S3";2030;2018;1;0;0;NA
"BHP";"S12M";2022;2017;3;1.000126486213;0.000126486213003041;0.000126470216264329
"BHP";"S12M";2030;2020;3;1.000126486213;0.000126486213003041;0.000126470216264329
"BHP";"S12M";2050;2017;3;1.000126486213;0.000126486213003041;0.000126470216264329
"Big Yellow Group";"S12L";2050;2011;1;1;0;0
"Big Yellow Group";"SX";2025;2011;1;0;0;NA
"BillerudKorsnäs";"S12M";2030;2016;3;0.999996181262729;0.999996181262729;0.00000381875185384573
"BillerudKorsnäs";"S3";2030;2016;3;0;0;NA
"Biogen Inc.";"S12M3";2030;2013;32;0.999991063050181;0.999991063050181;0.0000089370296891822
"BlackRock";"S12L";2020;2014;34;0.871475411563524;0.871475411563524;0.147479305475628
"Bloomberg";"S12X3";2020;2007;7;1;1;0.000000000000000444089209850063
"Bloomberg";"S2M";2020;2007;7;0;0;NA
"Bloomberg";"S2M";2025;2010;7;0;0;NA
"Bloomberg";"S2M";2050;2010;7;0;0;NA
"Blue Cross Blue Shield Massachusetts";"S12M3";2020;2010;1;0;0;NA
"BMW AG";"S12M";2020;2015;18;2;0;0
"BMW AG";"S12M";2050;2015;18;2;0;0
"BNY Mellon";"S12L";2025;2018;2;1;0;0
"BNY Mellon";"S12M";2040;2014;2;1;0;0
"BNY Mellon";"S2M";2020;2014;2;1;0;0
"Boeing Company";"S12M";2025;2017;26;1.98169934640523;0.981699346405229;0.00923482849604218
"Bolloré SA";"S12L";2027;2017;75;0;0;NA
"Bonava";"S12M";2030;2018;8;0.999819413092551;0.999819413092551;0.000180619524970949
"Borregaard ASA";"S12L";2030;2009;7;0.999997229556203;0.999997229556203;0.0000027704514724558
"Borregaard ASA";"S12L";2050;2009;7;0.999997229556203;0.999997229556203;0.0000027704514724558
"Boston Scientific Corporation";"S12M";2030;2016;6;0.999592816871999;0.999592816871999;0.000407348993638701
"Bouygues";"S12L3";2030;2015;10;0.658795205201138;0.658795205201138;0.517922401537043
"BPER Banca";"S12L";2021;2018;1;0;0;NA
"bpost";"S12M";2030;2017;10;0;0;NA
"bpost";"S3";2030;2017;10;0;0;NA
"Braskem S/A";"S12L";2021;2008;4;0.999999989670614;0.999999989670614;0.0000000103293857911524
"Braskem S/A";"S12L";2024;2008;4;0.999999989670614;0.999999989670614;0.0000000103293857911524
